time_iso8601,forks_cumulative
2023-08-02 00:00:00+00:00,3
2023-08-03 00:00:00+00:00,4
2023-08-04 00:00:00+00:00,5
2023-08-05 00:00:00+00:00,7
2023-08-08 00:00:00+00:00,8
2023-08-11 00:00:00+00:00,9
2023-08-15 00:00:00+00:00,10
2023-08-16 00:00:00+00:00,11
2023-08-20 00:00:00+00:00,12
2023-08-23 00:00:00+00:00,13
2023-08-26 00:00:00+00:00,15
2023-09-05 00:00:00+00:00,16
2023-09-09 00:00:00+00:00,17
2023-09-11 00:00:00+00:00,18
2023-09-17 00:00:00+00:00,19
2023-09-18 00:00:00+00:00,20
2023-09-19 00:00:00+00:00,21
2023-09-20 00:00:00+00:00,22
2023-09-21 00:00:00+00:00,24
2023-09-26 00:00:00+00:00,27
2023-09-27 00:00:00+00:00,28
2023-09-30 00:00:00+00:00,29
2023-10-04 00:00:00+00:00,30
2023-10-09 00:00:00+00:00,31
2023-10-10 00:00:00+00:00,32
2023-10-13 00:00:00+00:00,33
2023-10-14 00:00:00+00:00,34
2023-10-15 00:00:00+00:00,35
2023-10-25 00:00:00+00:00,37
2023-10-30 00:00:00+00:00,38
2023-10-31 00:00:00+00:00,43
2023-11-02 00:00:00+00:00,44
2023-11-03 00:00:00+00:00,45
2023-11-06 00:00:00+00:00,46
2023-11-08 00:00:00+00:00,47
2023-11-09 00:00:00+00:00,48
2023-11-13 00:00:00+00:00,49
2023-11-14 00:00:00+00:00,50
