time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-03 00:00:00+00:00,83.0,10.0,629,46
2023-10-04 00:00:00+00:00,81.0,20.0,791,61
2023-10-05 00:00:00+00:00,174.0,18.0,880,69
2023-10-06 00:00:00+00:00,253.0,11.0,705,55
2023-10-07 00:00:00+00:00,19.0,5.0,246,27
2023-10-08 00:00:00+00:00,24.0,7.0,216,23
2023-10-09 00:00:00+00:00,80.0,16.0,690,63
2023-10-10 00:00:00+00:00,128.0,22.0,1272,105
2023-10-11 00:00:00+00:00,53.0,3.0,544,52
2023-10-12 00:00:00+00:00,143.0,5.0,655,38
2023-10-13 00:00:00+00:00,138.0,8.0,677,44
2023-10-14 00:00:00+00:00,46.0,7.0,188,24
2023-10-15 00:00:00+00:00,6.0,2.0,68,18
2023-10-16 00:00:00+00:00,96.0,10.0,813,36
2023-10-17 00:00:00+00:00,,,6,2
